CSV CAN data
Converted from Kvaser Memorator at,2026-04-17 13:47:54
                                                        
Format of data field,HEX
Format of id field,HEX
Timestamp Offset,            0.000000,seconds
Logging started at,2026-04-17 13:47:31
Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Counter
8.040469,1,,32,,,,,,,,,,1
8.040730,1,,32,,,,,,,,,,2
8.040990,1,,32,,,,,,,,,,3
8.041240,1,,32,,,,,,,,,,4
8.041499,1,,32,,,,,,,,,,5
8.041750,1,,32,,,,,,,,,,6
8.042009,1,,32,,,,,,,,,,7
8.042220,1,,32,,,,,,,,,,8
8.042479,1,,32,,,,,,,,,,9
8.042730,1,,32,,,,,,,,,,10
8.042990,1,,32,,,,,,,,,,11
8.043250,1,,32,,,,,,,,,,12
8.043500,1,,32,,,,,,,,,,13
8.043760,1,,32,,,,,,,,,,14
8.044010,1,,32,,,,,,,,,,15
8.044269,1,,32,,,,,,,,,,16
8.044570,1,217,2,8,00,5b,ff,00,7f,ff,00,90,17
8.044820,1,217,2,8,00,5b,ff,00,7f,ff,00,90,18
8.045080,1,217,2,8,00,5b,ff,00,7f,ff,00,90,19
8.045380,1,217,2,8,00,5b,ff,00,7f,ff,00,90,20
8.045629,1,217,2,8,00,5b,ff,00,7f,ff,00,90,21
8.045890,1,217,2,8,00,5b,ff,00,7f,ff,00,90,22
8.046189,1,217,2,8,00,5b,ff,00,7f,ff,00,90,23
8.046440,1,217,2,8,00,5b,ff,00,7f,ff,00,90,24
8.046699,1,217,2,8,00,5b,ff,00,7f,ff,00,90,25
8.047000,1,217,2,8,00,5b,ff,00,7f,ff,00,90,26
8.047260,1,217,2,8,00,5b,ff,00,7f,ff,00,90,27
8.047510,1,217,2,8,00,5b,ff,00,7f,ff,00,90,28
8.047810,1,217,2,8,00,5b,ff,00,7f,ff,00,90,29
8.048069,1,217,2,8,00,5b,ff,00,7f,ff,00,90,30
8.048320,1,217,2,8,00,5b,ff,00,7f,ff,00,90,31
8.048620,1,217,2,8,00,5b,ff,00,7f,ff,00,90,32
8.048880,1,217,2,8,00,5b,ff,00,7f,ff,00,90,33
8.049130,1,250,2,8,00,00,00,01,00,00,00,00,34
8.049390,1,257,2,8,31,7f,e2,0a,df,00,0a,f0,35
8.049600,1,337,2,8,0a,c0,3e,00,00,00,00,00,36
8.049860,1,397,2,8,00,80,00,00,80,bc,80,98,37
8.050110,1,217,2,8,00,03,ff,00,7f,ff,00,10,38
8.050330,1,437,2,8,01,00,00,20,13,40,00,00,39
8.050580,1,457,2,8,40,00,09,60,06,12,40,80,40
8.050800,1,477,2,8,1e,69,00,d5,ff,42,02,00,41
8.051050,1,4f2,2,8,00,00,00,00,00,b6,02,b6,42
8.051310,1,4f4,2,8,00,00,00,00,00,00,00,00,43
8.051520,1,4f7,2,8,80,24,00,80,27,10,d5,9c,44
8.051780,1,4fd,2,8,00,00,a2,00,00,00,00,00,45
8.052030,1,4fe,2,8,00,00,00,00,00,00,14,00,46
8.052250,1,4ff,2,8,00,00,93,00,d5,93,9c,f6,47
8.052500,1,501,2,8,01,01,00,00,11,00,00,00,48
8.055059,1,250,2,8,00,00,00,00,00,00,00,00,49
8.055280,1,257,2,8,31,7f,e2,0b,df,00,0b,f0,50
8.055529,1,397,2,8,00,00,00,00,00,3c,00,00,51
8.060010,1,217,2,8,00,03,ff,00,7f,ff,00,10,52
8.064880,1,337,2,8,0a,00,3e,00,00,00,00,00,53
8.070080,1,217,2,8,00,03,ff,00,7f,ff,00,20,54
8.070340,1,250,2,8,00,00,00,00,00,00,00,00,55
8.070550,1,257,2,8,31,7f,e2,0c,df,00,0c,f0,56
8.070810,1,397,2,8,00,00,00,00,00,3c,00,00,57
8.080069,1,217,2,8,00,03,ff,00,7f,ff,00,20,58
8.080280,1,457,2,8,40,00,09,60,06,12,00,80,59
8.080539,1,477,2,8,1e,69,00,d5,7f,42,02,00,60
8.080790,1,4fd,2,8,00,00,22,00,00,00,00,00,61
8.084890,1,250,2,8,00,00,00,00,00,00,00,00,62
8.085140,1,257,2,8,31,7f,e2,0d,df,00,0d,f0,63
8.085400,1,397,2,8,00,00,00,00,00,3c,00,00,64
8.090050,1,217,2,8,00,03,ff,00,7f,ff,00,20,65
8.090260,1,337,2,8,0a,00,3e,00,00,00,00,00,66
8.093159,1,45d,2,8,00,75,00,00,01,04,00,44,67
8.093420,1,47d,2,8,00,00,00,00,00,01,5c,15,68
8.098750,1,511,2,8,11,01,00,00,11,00,00,00,69
8.100120,1,380,2,8,00,00,05,20,00,19,00,91,70
8.100330,1,217,2,8,00,03,ff,00,7f,ff,00,30,71
8.100590,1,250,2,8,00,00,00,00,00,00,00,00,72
8.100840,1,257,2,8,31,7f,e2,0e,df,00,0e,f0,73
8.101100,1,397,2,8,00,00,00,00,00,3c,00,00,74
8.101310,1,3b9,2,8,ff,00,00,00,00,50,c0,00,75
8.101570,1,4f7,2,8,80,24,00,00,27,10,55,9c,76
8.101780,1,4ff,2,8,00,00,00,00,d5,93,9c,f7,77
8.102040,1,53f,2,8,3f,01,00,00,00,00,00,00,78
8.109930,1,217,2,8,00,03,ff,00,7f,ff,00,30,79
8.114970,1,250,2,8,00,00,00,00,00,00,00,00,80
8.115220,1,257,2,8,31,7f,e2,00,df,00,00,f0,81
8.115480,1,337,2,8,0a,40,3e,00,00,00,00,00,82
8.115690,1,397,2,8,00,00,00,00,00,3c,00,00,83
8.119999,1,380,2,8,6e,00,15,20,a0,bd,6e,08,84
8.120220,1,217,2,8,00,03,ff,00,7f,ff,00,30,85
8.120469,1,3b9,2,8,6e,00,85,00,ff,14,80,0a,86
8.120680,1,457,2,8,40,00,09,60,06,12,00,80,87
8.120939,1,477,2,8,1e,69,00,d5,7f,42,02,00,88
8.121200,1,4fd,2,8,00,80,08,00,00,00,00,00,89
8.123239,1,45d,2,8,00,75,00,00,01,04,00,44,90
8.130110,1,217,2,8,00,03,ff,00,7f,ff,00,40,91
8.130369,1,250,2,8,00,00,00,00,00,00,00,00,92
8.130580,1,257,2,8,31,7f,e2,01,df,00,01,f0,93
8.130839,1,397,2,8,00,00,00,00,00,3c,00,00,94
8.139970,1,380,2,8,6e,00,1d,20,a1,b9,6e,e3,95
8.140230,1,217,2,8,00,03,ff,00,7f,ff,00,40,96
8.140480,1,337,2,8,0a,00,3e,00,00,00,00,00,97
8.140700,1,3b9,2,8,6e,00,85,00,ff,14,80,0a,98
8.140950,1,4f2,2,8,00,00,00,00,00,b6,02,b6,99
8.141209,1,4f4,2,8,00,00,00,00,00,00,00,00,100
8.144959,1,250,2,8,00,00,00,00,00,00,00,00,101
8.145220,1,257,2,8,31,7f,e2,02,df,00,02,f0,102
8.145429,1,397,2,8,00,00,00,00,00,3c,00,00,103
8.149830,1,501,2,8,11,02,00,00,11,00,00,00,104
8.150209,1,217,2,8,00,03,ff,00,7f,ff,00,40,105
8.151960,1,350,2,8,0f,02,00,00,00,7f,00,dc,106
8.152220,1,4c0,2,8,b0,00,00,8a,00,78,4b,7f,107
8.152469,1,4fa,2,8,00,c1,80,48,27,10,b4,78,108
8.153280,1,45d,2,8,00,75,00,00,01,04,00,44,109
8.156990,1,51e,2,8,1e,01,00,00,00,00,00,00,110
8.159979,1,380,2,8,6e,00,1d,20,92,b9,6e,d5,111
8.160240,1,217,2,8,00,03,ff,00,7f,ff,00,50,112
8.160489,1,250,2,8,00,00,00,00,00,00,00,00,113
8.160750,1,257,2,8,31,78,e2,03,df,00,03,f0,114
8.161000,1,397,2,8,00,00,00,00,00,3c,00,00,115
8.161220,1,3b9,2,8,6e,00,85,00,ff,14,80,00,116
8.161470,1,457,2,8,40,00,09,60,06,12,00,80,117
8.161690,1,477,2,8,1e,69,00,d5,7f,42,02,00,118
8.161940,1,4f7,2,8,80,24,00,00,27,10,5a,90,119
8.162160,1,4fd,2,8,00,00,0a,00,00,00,00,00,120
8.162409,1,4ff,2,8,00,00,00,00,d5,93,9c,f7,121
8.164930,1,337,2,8,0a,00,3e,00,00,00,00,00,122
8.169919,1,217,2,8,00,0b,ff,00,7f,ff,00,d0,123
8.171970,1,350,2,8,0f,02,00,00,00,7f,00,dc,124
8.174960,1,250,2,8,00,00,00,01,00,00,00,00,125
8.175170,1,257,2,8,31,78,e2,04,df,00,04,f0,126
8.175430,1,397,2,8,00,00,00,00,00,3c,00,00,127
8.179950,1,217,2,8,00,03,ff,00,7f,ff,00,50,128
8.180199,1,380,2,8,6e,00,1d,20,93,b9,6e,48,129
8.180420,1,3b9,2,8,6e,00,85,00,ff,14,80,00,130
8.183320,1,45d,2,8,00,75,00,00,01,04,00,44,131
8.190099,1,217,2,8,00,03,ff,00,7f,ff,00,60,132
8.190320,1,250,2,8,00,00,00,00,00,00,00,00,133
8.190569,1,257,2,8,31,78,e2,05,df,00,05,f0,134
8.190830,1,337,2,8,0a,00,3e,00,00,00,00,00,135
8.191079,1,397,2,8,00,00,00,00,00,3c,00,00,136
8.191300,1,437,2,8,00,00,00,00,13,40,00,00,137
8.192019,1,350,2,8,0f,02,00,00,00,7f,00,dc,138
8.200040,1,380,2,8,6e,00,1d,20,94,19,6e,d6,139
8.200300,1,217,2,8,00,03,ff,00,7f,ff,00,60,140
8.200509,1,3b9,2,8,6e,00,85,00,ff,14,80,00,141
8.200770,1,457,2,8,40,00,09,60,06,12,40,80,142
8.200979,1,477,2,8,1e,69,00,d5,7f,42,02,00,143
8.201240,1,4fd,2,8,00,80,22,00,00,00,00,00,144
8.205080,1,250,2,8,00,00,00,00,00,00,00,00,145
8.205290,1,257,2,8,31,78,e2,06,df,00,06,e0,146
8.205550,1,397,2,8,00,80,00,00,80,bc,00,98,147
8.210030,1,217,2,8,00,0b,ff,00,7f,ff,00,f0,148
8.211990,1,350,2,8,0f,02,00,00,00,7f,00,dc,149
8.212249,1,4c0,2,8,b0,00,00,8a,00,78,4b,7f,150
8.213270,1,45d,2,8,00,75,00,00,01,04,00,44,151
8.214980,1,337,2,8,0a,c0,3e,00,00,00,00,00,152
8.220060,1,380,2,8,6e,00,1d,20,95,19,6e,4b,153
8.220310,1,217,2,8,00,13,ff,00,7f,ff,00,70,154
8.220570,1,250,2,8,00,00,00,01,00,00,00,00,155
8.220780,1,257,2,8,31,78,e2,07,df,00,07,e0,156
8.221040,1,397,2,8,00,00,00,00,00,3c,80,00,157
8.221290,1,3b9,2,8,6e,00,85,00,ff,14,80,00,158
8.221510,1,400,2,8,1f,02,02,00,00,00,02,00,159
8.221760,1,405,2,8,00,00,00,00,00,00,00,00,160
8.222020,1,407,2,8,13,00,00,00,00,00,00,10,161
8.222270,1,4f7,2,8,80,24,00,80,27,10,da,90,162
8.222490,1,4ff,2,8,00,00,00,00,d5,93,9c,f8,163
8.230000,1,217,2,8,00,03,ff,00,7f,ff,00,70,164
8.231999,1,350,2,8,0f,02,00,00,00,7f,00,dc,165
8.234950,1,250,2,8,00,00,00,00,00,00,00,00,166
8.235200,1,257,2,8,31,78,e2,08,df,00,08,e0,167
8.235419,1,397,2,8,00,00,00,00,00,3c,00,00,168
8.240069,1,380,2,8,6e,00,1d,20,96,19,6e,f1,169
8.240320,1,217,2,8,00,03,ff,00,7f,ff,00,00,170
8.240580,1,337,2,8,0a,00,3e,00,00,00,00,00,171
8.240790,1,3b9,2,8,6e,00,85,00,ff,14,80,00,172
8.241050,1,457,2,8,40,00,09,60,06,12,40,80,173
8.241300,1,477,2,8,1e,69,00,d5,7f,42,02,00,174
8.241519,1,4f2,2,8,00,00,00,00,00,b6,02,b6,175
8.241770,1,4f4,2,8,00,00,00,00,00,00,00,00,176
8.242030,1,4fd,2,8,00,00,22,00,00,00,00,00,177
8.243390,1,45d,2,8,00,75,00,00,01,04,00,44,178
8.250010,1,217,2,8,00,03,ff,00,7f,ff,00,00,179
8.250260,1,250,2,8,00,00,00,00,00,00,00,00,180
8.250520,1,257,2,8,31,78,e2,09,df,00,09,e0,181
8.250780,1,397,2,8,00,00,00,00,00,3c,00,00,182
8.252010,1,350,2,8,0f,02,00,00,00,7f,00,dc,183
8.258920,1,511,2,8,1e,12,00,00,11,00,00,00,184
8.260080,1,217,2,8,00,0b,ff,00,7f,ff,00,80,185
8.260289,1,380,2,8,6e,00,1d,20,97,19,6e,6c,186
8.260550,1,3b9,2,8,6e,00,85,00,ff,14,80,00,187
8.265029,1,250,2,8,00,00,00,01,00,00,00,00,188
8.265280,1,257,2,8,31,78,e2,0a,df,00,0a,e0,189
8.265499,1,337,2,8,0a,00,3e,00,00,00,00,00,190
8.265750,1,397,2,8,00,00,00,00,00,3c,00,00,191
8.270099,1,217,2,8,00,03,ff,00,7f,ff,00,10,192
8.271979,1,350,2,8,0f,02,00,00,00,7f,00,dd,193
8.272240,1,4c0,2,8,b0,00,00,8a,00,78,5b,7f,194
8.273350,1,45d,2,8,00,75,00,00,01,04,00,44,195
8.280130,1,380,2,8,6e,00,1d,20,98,19,6e,04,196
8.280390,1,217,2,8,00,03,ff,00,7f,ff,00,10,197
8.280640,1,250,2,8,00,00,00,00,00,00,00,00,198
8.280900,1,257,2,8,31,78,e2,0b,df,00,0b,e0,199
8.281110,1,397,2,8,00,80,00,00,80,bc,00,98,200
8.281370,1,3b9,2,8,6e,00,85,00,ff,14,80,00,201
8.281580,1,457,2,8,40,00,09,60,06,12,40,80,202
8.281840,1,477,2,8,1e,69,00,d5,7f,42,02,00,203
8.282050,1,4f7,2,8,80,24,00,00,27,10,5a,90,204
8.282310,1,4fd,2,8,00,00,22,00,00,00,00,00,205
8.282560,1,4ff,2,8,00,00,00,00,d5,93,9c,f9,206
8.290200,1,217,2,8,00,43,ff,00,7f,ff,00,10,207
8.290459,1,337,2,8,0a,00,3e,00,00,00,00,00,208
8.291990,1,350,2,8,0f,02,00,00,00,7f,00,dd,209
8.295109,1,250,2,8,00,00,00,00,00,00,00,00,210
8.295360,1,257,2,8,31,78,e2,0c,df,00,0c,e0,211
8.295620,1,397,2,8,00,00,00,00,00,3c,00,00,212
8.300230,1,380,2,8,6e,00,1d,20,99,19,6e,99,213
8.300480,1,217,2,8,00,0b,ff,00,7f,ff,00,a0,214
8.300739,1,3b9,2,8,6e,00,85,00,ff,14,80,00,215
8.303380,1,45d,2,8,00,75,00,00,01,04,00,44,216
8.310169,1,217,2,8,00,13,ff,00,7f,ff,00,20,217
8.310380,1,250,2,8,00,00,00,01,00,00,00,00,218
8.310639,1,257,2,8,31,78,e2,0d,df,00,0d,e0,219
8.310890,1,397,2,8,00,00,00,00,00,3c,80,00,220
8.311999,1,350,2,8,0f,02,00,00,00,7f,00,dd,221
8.315120,1,337,2,8,0a,c0,3e,00,00,00,00,00,222
8.320190,1,217,2,8,00,03,ff,00,7f,ff,00,20,223
8.320410,1,380,2,8,6e,00,1d,20,9a,19,6e,23,224
8.320660,1,3b9,2,8,6e,00,85,00,ff,14,80,00,225
8.320880,1,457,2,8,40,00,09,60,06,12,40,80,226
8.321130,1,477,2,8,1e,69,00,d5,7f,42,02,00,227
8.321389,1,4fd,2,8,00,00,22,00,00,00,00,00,228
8.325060,1,250,2,8,00,00,00,00,00,00,00,00,229
8.325310,1,257,2,8,31,78,e2,0e,df,00,0e,e0,230
8.325570,1,397,2,8,00,00,00,00,00,3c,00,00,231
8.330050,1,217,2,8,00,03,ff,00,7f,ff,00,30,232
8.330310,1,4d7,2,8,00,00,00,00,00,00,00,00,233
8.332010,1,350,2,8,0f,02,00,00,00,7f,00,dd,234
8.332229,1,4c0,2,8,b0,00,00,8a,00,78,5b,7f,235
8.333380,1,45d,2,8,00,75,00,00,01,04,00,44,236
8.338970,1,4dd,2,8,01,00,00,00,00,00,00,00,237
8.340330,1,380,2,8,6e,00,1d,20,9b,19,6e,be,238
8.340590,1,217,2,8,00,03,ff,00,7f,ff,00,30,239
8.340840,1,250,2,8,00,00,00,00,00,00,00,00,240
8.341060,1,257,2,8,31,78,e2,00,df,00,00,e0,241
8.341310,1,337,2,8,0a,00,3e,00,00,00,00,00,242
8.341570,1,397,2,8,00,00,00,00,00,3c,00,00,243
8.341780,1,3b9,2,8,6e,00,85,00,ff,14,80,00,244
8.342040,1,437,2,8,00,00,00,00,13,40,00,00,245
8.342300,1,4d7,2,8,00,00,00,00,00,00,00,00,246
8.342510,1,4f2,2,8,00,00,00,00,00,b6,02,b6,247
8.342760,1,4f4,2,8,00,00,00,00,00,00,00,00,248
8.343019,1,4f7,2,8,80,24,00,80,27,10,da,90,249
8.343230,1,4ff,2,8,00,00,00,00,d5,93,9c,f9,250
8.343529,1,47d,2,8,00,00,00,00,00,01,5c,15,251
8.349080,1,4dd,2,8,01,00,00,00,00,00,00,00,252
8.350190,1,217,2,8,00,0b,ff,00,7f,ff,00,b0,253
8.350400,1,4d7,2,8,00,00,00,00,00,00,00,00,254
8.351979,1,350,2,8,0f,02,00,00,00,7f,00,dd,255
8.355270,1,250,2,8,00,00,00,01,00,00,00,00,256
8.355480,1,257,2,8,31,78,e2,01,df,00,01,e0,257
8.355740,1,397,2,8,00,80,00,00,80,bc,00,98,258
8.359019,1,4dd,2,8,01,00,00,00,00,00,00,00,259
8.360260,1,217,2,8,00,03,ff,00,7f,ff,00,40,260
8.360469,1,380,2,8,6e,00,1d,20,9c,19,6e,4a,261
8.360730,1,3b9,2,8,6e,00,85,00,ff,14,80,00,262
8.360939,1,457,2,8,40,00,09,60,06,12,40,80,263
8.361200,1,477,2,8,1e,69,00,d5,7f,42,02,00,264
8.361409,1,4d7,2,8,02,28,77,12,13,00,9c,09,265
8.361670,1,4fd,2,8,00,00,22,00,00,00,00,00,266
8.363460,1,45d,2,8,00,75,00,00,01,04,00,44,267
8.365119,1,337,2,8,0a,00,3e,00,00,00,00,00,268
8.367080,1,51e,2,8,11,12,00,00,11,00,00,00,269
8.369130,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,270
8.369940,1,501,2,8,11,01,00,00,11,00,00,00,271
8.370279,1,217,2,8,00,03,ff,00,7f,ff,00,40,272
